# Copper (Z=29) - Mass Attenuation and Mass Energy-Absorption Coefficients
# Source: NIST XCOM
# Columns: Energy(MeV)  mu/rho(cm2/g)  mu_en/rho(cm2/g)
1.00E-03  1.06E+04  1.05E+04
1.05E-03  9.31E+03  9.24E+03
1.10E-03  8.24E+03  8.19E+03
1.10E-03  9.35E+03  9.28E+03
1.50E-03  4.42E+03  4.39E+03
2.00E-03  2.15E+03  2.14E+03
3.00E-03  7.49E+02  7.43E+02
4.00E-03  3.47E+02  3.43E+02
5.00E-03  1.90E+02  1.87E+02
6.00E-03  1.16E+02  1.13E+02
8.00E-03  5.26E+01  5.05E+01
8.98E-03  3.83E+01  3.65E+01
8.98E-03  2.78E+02  1.82E+02
1.00E-02  2.16E+02  1.48E+02
1.50E-02  7.41E+01  5.79E+01
2.00E-02  3.38E+01  2.79E+01
3.00E-02  1.09E+01  9.35E+00
4.00E-02  4.86E+00  4.16E+00
5.00E-02  2.61E+00  2.19E+00
6.00E-02  1.59E+00  1.29E+00
8.00E-02  7.63E-01  5.58E-01
1.00E-01  4.58E-01  2.95E-01
1.50E-01  2.22E-01  1.03E-01
2.00E-01  1.56E-01  5.78E-02
3.00E-01  1.12E-01  3.62E-02
4.00E-01  9.41E-02  3.12E-02
5.00E-01  8.36E-02  2.93E-02
6.00E-01  7.63E-02  2.83E-02
8.00E-01  6.61E-02  2.68E-02
1.00E+00  5.90E-02  2.56E-02
1.25E+00  5.26E-02  2.43E-02
1.50E+00  4.80E-02  2.32E-02
2.00E+00  4.21E-02  2.16E-02
3.00E+00  3.60E-02  2.02E-02
4.00E+00  3.32E-02  1.99E-02
5.00E+00  3.18E-02  2.00E-02
6.00E+00  3.11E-02  2.03E-02
8.00E+00  3.07E-02  2.10E-02
1.00E+01  3.10E-02  2.17E-02
1.50E+01  3.25E-02  2.31E-02
2.00E+01  3.41E-02  2.39E-02
